frame,x,y,xVelocity,yVelocity,thetayaw,timestamp,speed_mps,steering_percentage,accx,accy,driving_mode
16,458496.3183172101,4399965.604931047,0.0022755424277177195,0.004540324643636175,2.859415331968213,1676448769.8872008,0.0,-4.234042644500732,0.009991256880569538,-0.01281810823644143,4
17,458496.3185175033,4399965.605345396,0.0015297417098120959,0.004231925797620509,2.859381150887093,1676448769.9871254,0.0,-4.234042644500732,-0.009528365508871296,-0.013318184030088696,4
18,458496.31903661997,4399965.606022428,0.000759869581640067,0.001330604693913552,2.859349141767476,1676448770.087186,0.0,-4.234042644500732,0.006147261005747924,-0.037051968172594936,4
19,458496.31867660064,4399965.605186538,0.0008824588688456854,0.0015116142432816482,2.85933714340209,1676448770.187186,0.0,-4.234042644500732,-0.01451727445369666,-0.012362331391045553,4
20,458496.31829144637,4399965.604407079,0.0003344730701586578,0.002085648831998227,2.8593358165311304,1676448770.2871797,0.0,-4.234042644500732,-0.03106462842677342,-0.015323022509189151,4
21,458496.3178513011,4399965.603667625,0.00010536296096565258,0.0022177603479885313,2.8593437319507213,1676448770.3871942,0.0,-4.234042644500732,-0.008638098484351119,-0.00019056097968711376,4
22,458496.31745655293,4399965.602962367,0.0006010848506326339,0.0030722508761053388,2.859340651683863,1676448770.487181,0.0,-4.234042644500732,-0.02303404094597636,0.014770203070786029,4
23,458496.31722343084,4399965.602615983,0.0010387187512253498,0.003685690229861355,2.859354368161833,1676448770.5871687,0.0,-4.234042644500732,0.011717292760300934,0.03429190016259239,4
24,458496.31733993965,4399965.602984342,0.0011288473697489887,0.003769825641018331,2.8593493876555423,1676448770.687119,0.0,-4.234042644500732,0.003334293636560075,0.03164442537697383,4
25,458496.3174181606,4399965.603333503,0.0009555131023573703,0.0036342102963795525,2.8593637900893354,1676448770.7871861,0.0,-4.234042644500732,-0.02044768786127463,0.018678934013942744,4
26,458496.31750396127,4399965.603718949,0.0009282074913081602,0.003650543329404651,2.8593693526844666,1676448770.8871953,0.0,-4.234042644500732,0.005870432610077691,0.01805787502660776,4
27,458496.3176054896,4399965.604070408,0.0016129888539665725,0.0034769205731249556,2.859363600287173,1676448770.98717,0.0,-4.234042644500732,0.020736852722183775,0.01870414363213211,4
28,458496.31855396694,4399965.603738538,0.003255473521407336,-0.0013988467937592454,2.8594531962369025,1676448771.0931733,0.0,-4.234042644500732,0.006665058374639644,0.03793373566132882,4
29,458496.3192948832,4399965.601691582,0.003643026435983482,-0.0034649213387279985,2.859455624346701,1676448771.1931226,0.0,-4.234042644500732,-0.011552016890275872,-0.02886177410822776,4
30,458496.3197908704,4399965.600069127,0.004186759594968667,-0.0033520730115737633,2.8594421481726986,1676448771.2931721,0.0,-4.234042644500732,-0.018559179953812413,-0.01736574652318967,4
31,458496.3206738696,4399965.597691176,0.004424742529037654,-0.005207107961774508,2.859430169348159,1676448771.3931792,0.0,-4.234042644500732,-0.0027146971725981253,-0.024544548712756808,4
32,458496.3212244228,4399965.595881964,0.004374091049037499,-0.00563222015030601,2.8594170856474,1676448771.4931464,0.0,-4.234042644500732,-0.008069362661528167,0.00954592891381474,4
33,458496.3219093535,4399965.594418845,0.004941319586647154,-0.006445021629777138,2.8594356094555193,1676448771.5931458,0.0,-4.234042644500732,0.017745722997829932,-0.0004534275617828279,4
34,458496.32241286023,4399965.593742463,0.004777872093230247,-0.006390275574577887,2.859432914765245,1676448771.6931417,0.0,-4.234042644500732,-0.017740801170636273,-0.006698248068861969,4
35,458496.3228706053,4399965.593101532,0.0047962917610782,-0.006370159148134318,2.8594297870330214,1676448771.7931616,0.0,-4.234042644500732,-0.001881310497769845,0.014571295113630945,4
36,458496.3233726667,4399965.592436035,0.004586274520765781,-0.006154530942631748,2.8594426729486973,1676448771.8931653,0.0,-4.234042644500732,-0.02203314601571572,0.01666746459297008,4
37,458496.32381518325,4399965.591865373,0.004861077391164576,-0.004902963995265888,2.859434323543949,1676448771.9931862,0.0,-4.234042644500732,0.01680503784572672,0.04596995213088956,4
38,458496.32449895906,4399965.592326046,0.003660839606647693,-0.0031080503956160276,2.859198205495548,1676448772.0931685,0.0,-4.234042644500732,-0.009347578010197548,0.028578040313690718,4
39,458496.3244399466,4399965.592521793,0.004062018661894853,-0.0034592161833064032,2.8591998647699928,1676448772.1931522,0.0,-4.234042644500732,0.00024381695398281982,0.03532725753774718,4
40,458496.32444751076,4399965.592663675,0.004136261766857869,-0.00238678240448999,2.8592068771125785,1676448772.293152,0.0,-4.234042644500732,-0.003946324020843694,0.04750444953532419,4
41,458496.32441880944,4399965.592881382,0.004538175658536635,-0.003276492960211808,2.859196125026708,1676448772.393158,0.0,-4.234042644500732,0.006697467400406244,0.021916340504123204,4
42,458496.3245175419,4399965.593143927,0.00526122401493307,-0.0021098609809526736,2.8591946241042248,1676448772.4931722,0.0,-4.234042644500732,-0.012471203981916248,0.012764907224884044,4
43,458496.32480272255,4399965.5931607215,0.004063629568240913,-0.0024165936053001146,2.8591820758572126,1676448772.5931327,0.0,-4.234042644500732,-0.010294531119103473,-0.014059475684263481,4
44,458496.3252139838,4399965.5929039195,0.0041500547680057885,-0.0021202748008484593,2.859187266340439,1676448772.6931295,0.0,-4.234042644500732,0.009512604525870352,0.008655306025463848,4
45,458496.3255792497,4399965.592747425,0.0044252227941499,-0.0022799746515312198,2.859212137343894,1676448772.7931664,0.0,-4.234042644500732,0.019212641894249344,-0.050263444909164616,4
46,458496.32602824137,4399965.592544213,0.005233529022155445,-0.0019576752573416275,2.8592097846075983,1676448772.8931596,0.0,-4.234042644500732,0.009809795264194916,-0.02118771819932478,4
47,458496.32653731556,4399965.59239075,0.004416583221455793,-0.0015130668613063602,2.8592267727676015,1676448772.9931784,0.0,-4.234042644500732,-0.012199282263934116,-0.014375466292820974,4
48,458496.3268893334,4399965.592908711,0.0027319344170122417,-0.000643027410380417,2.858805681392064,1676448773.0931659,0.0,-4.234042644500732,0.005094737908646846,0.029668766487234564,4
49,458496.326506264,4399965.592969692,0.002812485411691112,-0.0002853286573324106,2.858804430578682,1676448773.1931744,0.0,-4.234042644500732,-0.008834108593694403,0.003012017549383496,4
50,458496.3260786319,4399965.593026222,0.0026309703534757793,-0.0007412398890490758,2.858807496885783,1676448773.293146,0.0,-4.234042644500732,-0.02313302637639205,0.025893200345247086,0
51,458496.3256627643,4399965.593041478,0.002671951737405825,-0.0004911424856910543,2.8588002950450875,1676448773.3931386,0.0,-4.234042644500732,-0.011862845521247204,0.03196771349163713,0
52,458496.32525149715,4399965.593089939,0.0033298192922750643,-0.0008948586545131168,2.8587993727297256,1676448773.493157,0.0,-4.234042644500732,0.0002919556685947976,0.0034271483301635923,0
53,458496.32529746555,4399965.59309635,0.002869092378445603,0.0007271330332533964,2.858790383535763,1676448773.5931125,0.0,-4.234042644500732,0.0027438446895247243,0.04721676959773563,0
54,458496.32557599555,4399965.593138621,0.0029003234387489666,1.5144468749572856e-06,2.8587770027214203,1676448773.6931562,0.0,-4.234042644500732,0.001211795855600467,0.005568477314066081,0
55,458496.32585788023,4399965.593153846,0.0030130550825319532,0.00047344029846549174,2.8587704494878503,1676448773.7931452,0.0,-4.234042644500732,0.026688404656133684,0.004805292003969834,1
56,458496.3261903216,4399965.593209643,0.003491100996221259,0.00021390476527730147,2.8587758023882737,1676448773.8931553,0.0,-4.170212745666504,0.010739208744105761,-0.0027460341820632374,1
57,458496.32642062695,4399965.593188264,0.00222167456658793,-0.0010102378213964552,2.858736141599059,1676448773.9931452,0.0,-2.5319149494171143,-0.019883718872405996,-0.03424637973926561,1
58,458496.3267100853,4399965.593901132,0.0012514252006544382,0.0017542581243218207,2.858674378897188,1676448774.0931628,0.0,2.2340426445007324,0.018740747946159153,0.02477124991726482,1
59,458496.32609743194,4399965.594585833,0.0016648314146558692,0.0037097305668914414,2.858763714339725,1676448774.1931484,0.0,5.255319118499756,0.01334541579090533,-0.024191869706122388,1
60,458496.32552246045,4399965.5952325035,0.002094428591464024,0.003928225991469636,2.85889678683892,1676448774.2931693,0.0,10.042552947998047,-0.06523645561087893,0.011633709039646781,1
61,458496.32426301925,4399965.596295334,-0.013517051229523892,0.01234673128724101,2.859231101573396,1676448774.3931592,0.0,18.553192138671875,-0.18169328207844537,0.0964493035885363,1
62,458496.3217406749,4399965.5979625415,-0.02675967619888026,0.017165895114247594,2.8598587106807383,1676448774.4931448,0.0,28.340425491333008,-0.19155563201498912,0.0451529109658822,1
63,458496.31698886084,4399965.600352671,-0.051409791047644225,0.023371444533071356,2.860808235033147,1676448774.5931609,0.0,42.51063919067383,-0.22669233082285578,0.09718675513219732,1
64,458496.31105617055,4399965.603037057,-0.07311281663277877,0.03249192645233903,2.86184158440964,1676448774.6931658,0.0,54.0638313293457,-0.2194143805401988,0.11162624769121446,1
65,458496.30202984845,4399965.606932509,-0.10135582856277399,0.041083963128986524,2.8633063802297656,1676448774.803163,0.0,62.978721618652344,-0.3160457067504059,0.0786140380318244,1
66,458496.2910012554,4399965.611319424,-0.12761211014055818,0.0505657283787877,2.8649038366869926,1676448774.9031577,0.0,70.63829803466797,-0.26325451788443327,0.15084988938523292,1
67,458496.2753218099,4399965.617904027,-0.1537576078735919,0.06439346946093318,2.8677296486642296,1676448775.0031145,0.0,80.04255676269531,-0.25932852333091705,0.09686070980887707,1
68,458496.2628935305,4399965.623221098,-0.17301136476929685,0.065057661001681,2.8691200726778847,1676448775.1031792,0.0,86.23403930664062,-0.2589458117822083,0.06105433008835631,1
