frame,x,y,xVelocity,yVelocity,thetayaw,timestamp,speed_mps,steering_percentage,accx,accy
28,458572.41160473716,4400037.798824647,-1.4651433578575042,-4.808140655696327,-1.8630410085862597,1676356741.1623192,4.94444465637207,-4.638298034667969,-0.18302835897388045,-0.33229391252773327
29,458572.2406275898,4400037.257811431,-1.4949245974595926,-4.842236358617532,-1.8676070551619866,1676356741.2622743,4.991666793823242,-5.021276473999023,-0.3317109735403694,-0.24679635296237135
30,458572.1036983868,4400036.830293418,-1.5143219737124696,-4.868548906584128,-1.8714319939949027,1676356741.3623269,5.019444465637207,-5.0638298988342285,-0.2118073046785275,-0.40623264045943736
31,458571.9264553172,4400036.283125096,-1.5553899294575189,-4.896012622102168,-1.8762567047741978,1676356741.4622712,5.0527777671813965,-5.127659797668457,-0.3257425182611554,-0.22372928353902222
32,458571.75879052834,4400035.772592726,-1.5877033532666525,-4.923921511483611,-1.8809960334198434,1676356741.56236,5.0916666984558105,-5.191489219665527,-0.4310838418674411,-0.2701105112713309
33,458571.602214482,4400035.299666981,-1.6207067851602814,-4.950481206237971,-1.8854038797460415,1676356741.6623387,5.133333206176758,-5.234042644500732,-0.3305361889320347,-0.24621314025234103
34,458571.4291983318,4400034.784819413,-1.6587639528291946,-4.97154226293839,-1.8901956578150756,1676356741.762328,5.169444561004639,-5.297872543334961,-0.46188851468206565,-0.19426019979759418
35,458571.2659952745,4400034.307324184,-1.686366486347253,-4.9985473064073265,-1.8945615150154111,1676356741.8623188,5.19444465637207,-5.340425491333008,-0.27968877662905245,-0.32884283136762155
36,458571.08619030064,4400033.786983356,-1.7228754916339553,-5.029176095559493,-1.8995776365307115,1676356741.9623396,5.230555534362793,-5.468085289001465,-0.3955029475636783,-0.25145377484679887
37,458570.93151248834,4400033.340990175,-1.75867915237539,-5.058641777505394,-1.9034736074077374,1676356742.0623496,5.275000095367432,-5.57446813583374,-0.33402568019078316,-0.324549125556555
38,458570.7273323866,4400032.77384153,-1.8090213662534023,-5.083693943512774,-1.9091176224745192,1676356742.1623397,5.30555534362793,-5.638298034667969,-0.4189495989840827,-0.2472066928388605
39,458570.56348826055,4400032.326019286,-1.8320562463734738,-5.110214855154548,-1.9136028565080245,1676356742.2623482,5.336111068725586,-5.829787254333496,-0.2277411717876779,-0.33312987229692503
40,458570.3517808193,4400031.752753774,-1.8725025793443473,-5.141066213296659,-1.9198213068786014,1676356742.3622801,5.380555629730225,-5.957446575164795,-0.4918282761503724,-0.18429971588208371
41,458570.16595196177,4400031.258835347,-1.9163871379689656,-5.162588889691657,-1.9252517869054584,1676356742.4722757,5.419444561004639,-5.957446575164795,-0.48760211638887896,-0.1561914556927112
42,458569.99190550484,4400030.804447307,-1.9654164418193623,-5.18144342452757,-1.9300130581142678,1676356742.572281,5.461111068725586,-5.893617153167725,-0.6061388460515627,-0.23749197376355302
43,458569.7660364858,4400030.224174274,-2.010656182737814,-5.207823943256394,-1.9359413973382775,1676356742.6722767,5.497222423553467,-5.765957355499268,-0.2967783511425179,-0.30301026385749213
44,458569.56895852997,4400029.724049527,-2.042194416086856,-5.23699633373702,-1.9412539898631058,1676356742.7723293,5.536110877990723,-5.744680881500244,-0.30565192729577934,-0.29002965001612213
45,458569.3687208577,4400029.221193247,-2.07755221451903,-5.263835747850113,-1.9466492937957849,1676356742.8722875,5.574999809265137,-5.723404407501221,-0.4333568040891362,-0.20516699458928184
46,458569.1468596075,4400028.673904882,-2.1329846487965476,-5.288033451705332,-1.9521956869650356,1676356742.9723167,5.608333110809326,-5.617021083831787,-0.42252743867059933,-0.2481999145702664
47,458568.93843314954,4400028.163423039,-2.1765040768819715,-5.312187230199549,-1.95684582978663,1676356743.072247,5.6583333015441895,-5.57446813583374,-0.5477553104805649,-0.2509258800290701
48,458568.7240590817,4400027.654222979,-2.2201443620172054,-5.3374080512982545,-1.9618820415347429,1676356743.172244,5.699999809265137,-5.659574508666992,-0.30030994241611586,-0.27633103399527664
49,458568.4879858437,4400027.099424946,-2.2617159888326936,-5.367059769282596,-1.9678468676492429,1676356743.2722797,5.736111164093018,-5.765957355499268,-0.5426989065166313,-0.1726644800402345
50,458568.26548378647,4400026.585225931,-2.304469022091946,-5.387092644096873,-1.973113178983363,1676356743.372339,5.766666889190674,-5.276595592498779,-0.322387864361042,-0.21712627422617714
51,458568.0208085986,4400026.025876719,-2.341813287467639,-5.409289625307891,-1.9786057244312563,1676356743.4723415,5.816666603088379,-5.1489362716674805,-0.48014300313935837,-0.18978882342310183
52,458567.7907473535,4400025.507289789,-2.3868385154558682,-5.433267787151814,-1.9835477088332434,1676356743.5722756,5.858333110809326,-5.127659797668457,-0.4171858734159405,-0.2401954381168424
53,458567.53674633213,4400024.942671034,-2.44072388229746,-5.456822748765748,-1.9886529785890472,1676356743.672298,5.886111259460449,-5.340425491333008,-0.42061629878776824,-0.2816853882789422
54,458567.29761294014,4400024.419016573,-2.484468069655649,-5.481148380648665,-1.9936579947365916,1676356743.7723207,5.9277777671813965,-5.57446813583374,-0.5237123466426007,-0.18424373433173075
55,458567.0131283468,4400023.805333307,-2.532602981115277,-5.51074365505275,-2.000322164628887,1676356743.8722994,5.972222328186035,-6.085106372833252,-0.3300723563362571,-0.3320170912085929
56,458566.7861790303,4400023.321009652,-2.5733057229683207,-5.526598996054018,-2.006081891224923,1676356743.9723496,6.030555725097656,-6.531914710998535,-0.5743250121629417,-0.14007989757949724
57,458566.51291849575,4400022.743263418,-2.6319826203328134,-5.555443971492722,-2.012711390922659,1676356744.072316,6.0527777671813965,-6.595744609832764,-0.4323247429025643,-0.20759744626883309
58,458566.2536031789,4400022.209882172,-2.684406143914559,-5.574790710766976,-2.0194491323995454,1676356744.1723168,6.099999904632568,-6.617021083831787,-0.6915694061836392,-0.0825059357797131
59,458565.96601441375,4400021.63090757,-2.755895581234242,-5.578964558786486,-2.0263620632749086,1676356744.272322,6.141666889190674,-6.404255390167236,-0.6188930696938914,0.026944936713426848
60,458565.6943901018,4400021.095911754,-2.809457194967876,-5.591891750502006,-2.032377543062246,1676356744.3723378,6.175000190734863,-5.361701965332031,-0.49620929805784875,-0.18349554527403
61,458565.3947171436,4400020.514696777,-2.862543959924853,-5.609610298968559,-2.037906869955764,1676356744.4722915,6.205555438995361,-4.382978916168213,-0.3710213228999314,-0.19831864439052593
62,458565.06732992746,4400019.886210965,-2.902374809491855,-5.63970308625236,-2.0425251965492173,1676356744.5722685,6.252777576446533,-2.659574508666992,-0.18627700353453783,-0.33481102856438444
