frame,id,x,y,xVelocity,yVelocity,thetayaw,type,timestamp
26,8284,458497.5477003484,4400213.077415467,-0.0,-0.0,-1.7669798135757446,5,1676356873.16467
26,8337,458420.84059149236,4400286.794964084,0.0,-0.0,-0.3269997835159302,5,1676356873.16467
26,8342,458511.3177918297,4400230.229200333,-0.0,0.0,-2.0835587978363037,5,1676356873.16467
26,8432,458505.98040046747,4400230.866221131,-0.0,0.0,-1.9948649406433105,5,1676356873.16467
26,8459,458480.6295041583,4400246.70184634,-0.0,-0.0,-1.1102850437164307,3,1676356873.16467
26,8480,458513.7359000867,4400229.138796606,-0.0,0.0,-2.0774526596069336,5,1676356873.16467
27,8284,458497.51229887403,4400213.082987514,0.0,-0.0,-1.7995411157608032,5,1676356873.2646062
27,8337,458420.7830498395,4400287.026928123,0.0,-0.0,-0.35450494289398193,5,1676356873.2646062
27,8342,458511.1090645908,4400229.9132775115,0.0,0.0,-2.058415412902832,5,1676356873.2646062
27,8432,458505.9488296348,4400230.892105886,0.0,-0.0,-1.9834332466125488,5,1676356873.2646062
27,8459,458480.56449508737,4400246.774114996,-0.0,-0.0,-1.0652689933776855,3,1676356873.2646062
27,8480,458513.5329899561,4400229.192453369,0.0,-0.0,-2.0578055381774902,5,1676356873.2646062
28,8284,458497.5682343181,4400213.143303849,-0.0,-0.0,-1.7758708000183105,5,1676356873.3646836
28,8337,458420.72672252305,4400287.0522920275,-0.0,0.0,-0.36609357595443726,5,1676356873.3646836
28,8342,458511.2763743346,4400230.898006165,-0.0,-0.0,-2.0461349487304688,5,1676356873.3646836
28,8432,458505.8612364447,4400230.92267921,0.0,-0.0,-1.9911246299743652,5,1676356873.3646836
28,8459,458480.60741482116,4400246.658565184,-0.0,0.0,-1.081833839416504,3,1676356873.3646836
28,8480,458513.287325709,4400228.659001757,0.0,-0.0,-2.0395846366882324,5,1676356873.3646836
29,8284,458497.4744509975,4400213.087916604,0.0,0.0,-1.8251243829727173,5,1676356873.4647734
29,8337,458420.649668414,4400287.074866799,-0.0,0.0,-0.38250216841697693,5,1676356873.4647734
29,8342,458511.2253175332,4400230.774249188,0.0,0.0,-2.087134599685669,5,1676356873.4647734
29,8432,458505.76059176726,4400230.97479614,0.0,-0.0,-1.9950400590896606,5,1676356873.4647734
29,8459,458480.61789777596,4400246.66919887,-0.0,-0.0,-1.093514084815979,3,1676356873.4647734
29,8480,458513.6703783434,4400229.170811885,0.0,-0.0,-2.0692691802978516,5,1676356873.4647734
30,8284,458497.55223198264,4400213.106948836,-0.0,-0.0,-1.7687262296676636,5,1676356873.5646353
30,8337,458420.7807276579,4400287.003688005,-0.0,0.0,-0.3732859194278717,5,1676356873.5646353
30,8342,458511.1230345554,4400229.921475694,0.0,0.0,-2.0567634105682373,5,1676356873.5646353
30,8432,458506.00735652447,4400230.979656357,-0.0,0.0,-1.9866803884506226,5,1676356873.5646353
30,8459,458480.6093066295,4400246.69109913,-0.0,-0.0,-1.1047476530075073,3,1676356873.5646353
30,8480,458513.68428504816,4400229.113893654,0.0,-0.0,-2.0549371242523193,5,1676356873.5646353
31,8284,458497.5821429604,4400213.185858024,0.0,-0.0,-1.7567564249038696,5,1676356873.6645746
31,8337,458420.74076870835,4400287.0229086755,0.0,-0.0,-0.37434422969818115,5,1676356873.6645746
31,8342,458511.0754282069,4400229.90411922,-0.0,-0.0,-2.019956588745117,5,1676356873.6645746
31,8432,458505.9766712988,4400230.880731242,0.0,0.0,-1.983951449394226,5,1676356873.6645746
31,8459,458480.58668607246,4400246.713532531,-0.0,-0.0,-1.1294746398925781,3,1676356873.6645746
31,8480,458513.53916510975,4400229.18996628,0.0,-0.0,-2.0338683128356934,5,1676356873.6645746
32,8284,458497.5538394016,4400213.094963437,0.0,0.0,-1.7642396688461304,5,1676356873.7646034
32,8337,458420.84675695765,4400286.805206972,-0.0,0.0,-0.3908338248729706,5,1676356873.7646034
32,8342,458511.0390473272,4400229.921230025,-0.0,-0.0,-2.0524237155914307,5,1676356873.7646034
32,8432,458506.159471311,4400231.376809939,-0.0,-0.0,-1.990775465965271,5,1676356873.7646034
32,8459,458480.5766965714,4400246.731991642,-0.0,0.0,-1.1475794315338135,3,1676356873.7646034
32,8480,458513.0719478773,4400229.106313007,0.0,-0.0,-2.066680431365967,5,1676356873.7646034
33,8284,458497.5750703314,4400213.168171912,-0.0,-0.0,-1.7564855813980103,5,1676356873.8645706
33,8337,458420.68373106956,4400287.058141989,0.0,-0.0,-0.38911473751068115,5,1676356873.8645706
33,8342,458511.20607110765,4400230.78123624,-0.0,-0.0,-2.0714550018310547,5,1676356873.8645706
33,8432,458506.08839952823,4400230.821219462,0.0,0.0,-2.00032901763916,5,1676356873.8645706
33,8459,458480.62095117604,4400246.670103706,-0.0,0.0,-1.123610019683838,3,1676356873.8645706
33,8480,458513.5344026999,4400228.717639008,-0.0,0.0,-2.0664591789245605,5,1676356873.8645706
34,8284,458497.5689263055,4400213.294304314,0.0,-0.0,-1.7832977771759033,5,1676356873.9646058
34,8337,458420.7416852207,4400287.046200886,-0.0,0.0,-0.40720677375793457,5,1676356873.9646058
34,8342,458511.3435779909,4400230.632616781,0.0,0.0,-2.0746843814849854,5,1676356873.9646058
34,8432,458506.02210791485,4400231.001805502,0.0,-0.0,-1.9970759153366089,5,1676356873.9646058
34,8459,458480.6046643231,4400246.718927668,0.0,-0.0,-1.123487949371338,3,1676356873.9646058
34,8480,458513.5551461504,4400229.253354684,0.0,-0.0,-2.077340841293335,5,1676356873.9646058
