frame,x,y,xVelocity,yVelocity,thetayaw,timestamp,speed_mps,steering_percentage,accx,accy
2,458505.1736094521,4399959.38807625,-4.673855956136553,1.321479497522498,2.873964518824949,1676359945.213318,4.766666889190674,1.106382966041565,-0.40555516966074345,0.2862028847881332
3,458504.724275912,4399959.516152302,-4.715500389717985,1.3314767547963333,2.8754759325293264,1676359945.3133554,4.813889026641846,1.191489338874817,-0.3889416269424334,-0.029533466498298605
4,458504.2332624787,4399959.654490456,-4.75490942124289,1.3196928638263714,2.876793200278752,1676359945.4133205,4.849999904632568,1.170212745666504,-0.5272334159231562,0.053548377878021525
5,458503.77592400025,4399959.782369304,-4.8006123341589575,1.3348375534835615,2.8781887873082423,1676359945.5133443,4.883333206176758,1.106382966041565,-0.5389477495723548,0.1318026870123698
6,458503.275048853,4399959.923413675,-4.855220018078085,1.3355149723625779,2.879742204778834,1676359945.6133282,4.936110973358154,1.042553186416626,-0.5801892612099172,-0.06137444549110327
7,458502.8074611236,4399960.054103503,-4.904716671695382,1.3396797417213129,2.8809080988539835,1676359945.7133305,4.980555534362793,0.8723404407501221,-0.5802687128133264,0.34721117196700674
8,458502.29538542376,4399960.196418401,-4.960618797953598,1.3438270668527659,2.882008979619198,1676359945.8133233,5.019444465637207,0.7659574747085571,-0.5188951216803646,0.14660609645585443
9,458501.8178378498,4399960.328971194,-5.008837330048359,1.3627538295878001,2.882967539039355,1676359945.9133024,5.077777862548828,0.6595744490623474,-0.561346625843308,0.09100331856471727
10,458501.29494862026,4399960.473031448,-5.066335279314774,1.3530430179046282,2.8839896326286674,1676359946.013316,5.141666889190674,0.44680851697921753,-0.48363720195130916,-0.015924570981172004
11,458500.806217763,4399960.607086237,-5.10819317094157,1.3681786559991018,2.8853549808051566,1676359946.1133165,5.202777862548828,0.2978723347187042,-0.47459818500372164,-0.1523682963808632
12,458500.2740328952,4399960.752248478,-5.167025862601683,1.3841021144073298,2.885870400263875,1676359946.2133012,5.238888740539551,0.1489361673593521,-0.622591906955668,0.24600694005318446
13,458499.7778388077,4399960.888080288,-5.221517164595309,1.398800201805447,2.886320025771001,1676359946.3133564,5.291666507720947,-0.042553190141916275,-0.47961795470027924,0.08418473664308862
14,458499.2343911117,4399961.0367833935,-5.2724766306784625,1.4157896251411786,2.8868007512815685,1676359946.4133196,5.35277795791626,-0.23404255509376526,-0.4184229964161118,0.12441990267624864
15,458498.72813861544,4399961.174609521,-5.323153110296795,1.4094080881285305,2.8867456016500874,1676359946.5133173,5.405555725097656,-0.3191489279270172,-0.4672659529086767,-0.0250222081627825
16,458498.1737591401,4399961.325125851,-5.3689489463942595,1.4349466377673263,2.8866062076142454,1676359946.6133387,5.449999809265137,-0.42553192377090454,-0.8991995261848507,0.27886469912509626
17,458497.6572127308,4399961.466203681,-5.41920007847395,1.4448239043176245,2.886862408927332,1676359946.713337,5.486111164093018,-0.38297873735427856,-0.6054416510653282,0.13944816333829302
18,458497.09197013313,4399961.620700018,-5.4744234455229295,1.467089586579993,2.8869827798903955,1676359946.8232787,5.550000190734863,-0.3191489279270172,-0.5454424154520037,0.14381705235611192
19,458496.56511514186,4399961.7646556925,-5.5248569525520645,1.4770176006455464,2.887072640880488,1676359946.923306,5.613888740539551,-0.23404255509376526,-0.5459508643151189,0.21324748045605268
20,458495.98904134246,4399961.922416134,-5.578270847526334,1.4932672404716598,2.8873597815041308,1676359947.0233214,5.669444561004639,-0.1489361673593521,-0.5772428985489999,0.04877874304901836
21,458495.4955518193,4399962.057384808,-5.621259781208226,1.4980623000373812,2.88778312132556,1676359947.123342,5.724999904632568,-0.021276595070958138,-0.5113566774181036,0.057632076605824534
22,458494.82016160025,4399962.24127621,-5.682250210018548,1.517921780701654,2.8883610492522154,1676359947.223324,5.769444465637207,0.042553190141916275,-0.5053136826305987,0.20852847955156134
23,458494.320826809,4399962.377528756,-5.7277772449959405,1.5314467681558097,2.888887501985014,1676359947.3153553,5.844444274902344,0.10638298094272614,-0.5747360562391461,0.05327531136961983
24,458493.72516835935,4399962.539743004,-5.780164816215181,1.5395774591120355,2.8895468880266613,1676359947.415361,5.880555629730225,0.1702127605676651,-0.5611038575032965,0.06424835279508856
25,458493.0307930202,4399962.727934457,-5.841138743300026,1.5483337350135065,2.890379129328087,1676359947.5153246,5.936110973358154,0.27659574151039124,-0.518622459251209,0.05333940496393069
26,458492.37554431305,4399962.904980096,-5.898716246513482,1.562114981340258,2.8912727588507607,1676359947.6153233,5.988888740539551,0.3617021143436432,-0.47078681727676963,0.20011384040147917
27,458491.9029501276,4399963.032820639,-5.939169552508472,1.5672260489078143,2.8920256934302664,1676359947.725335,6.044444561004639,0.40425533056259155,-0.5528269871403697,-0.057110609610980134
28,458491.1878283911,4399963.224551053,-6.0013015746333895,1.5728405803735879,2.893109207532234,1676359947.8253298,6.099999904632568,0.42553192377090454,-0.523717264744594,0.16985030313017674
29,458490.6104474574,4399963.379007821,-6.0467270607507295,1.5853424509687257,2.894007554561317,1676359947.925299,6.166666507720947,0.42553192377090454,-0.38073056493297996,0.27370272732948786
30,458489.9804648191,4399963.5484445095,-6.094461649481709,1.591888967270855,2.8950029315124386,1676359948.0253158,6.1972222328186035,0.38297873735427856,-0.5031692001620998,-0.170361525562374
31,458489.39205152227,4399963.706103583,-6.140413179290464,1.6021270919244848,2.89624255936309,1676359948.125338,6.252777576446533,0.27659574151039124,-0.3520041537209455,0.17073572106800822
