x,y,z,speed,acceleration,curvature,curvature_change_rate,time,theta,gear,s,throttle,brake,steering
458519.3617762213, 4400243.538932736, 19.116664451349948, 8.744444847106934, -2.4305445617910184, 0.0, 0.0, 1676111928.8918, -0.31005299005220577, 1, 0.08744444847106934, 16.078432083129883, 25.209430694580078, -0.25531914830207825
458519.4271577291, 4400243.516995869, 19.116914546294527, 8.744444847106934, -2.4636407644007488, 0.0, 0.0, 1676111928.9024, -0.31004005799159007, 1, 0.1748888969421387, 16.224918365478516, 25.122453689575195, -0.25531914830207825
458519.4924299965, 4400243.495094763, 19.117175257413557, 8.70555591583252, -2.480695054435324, 0.0, 0.0, 1676111928.9121, -0.3100171539541874, 1, 0.2619444561004639, 16.224918365478516, 25.122453689575195, -0.23404255509376526
458519.6224910514, 4400243.451442542, 19.11774117962439, 8.70555591583252, -2.318342187564866, 0.0, 0.0, 1676111928.9224, -0.3099407792706961, 1, 0.3490000152587891, 16.37140464782715, 25.128557205200195, -0.23404255509376526
458519.6872690241, 4400243.4296941515, 19.118053032078116, 8.658333778381348, -2.3295337628859163, 0.0, 0.0, 1676111928.9318, -0.30989768992757494, 1, 0.4355833530426026, 16.37140464782715, 25.128557205200195, -0.23404255509376526
458519.751968492, 4400243.407967303, 19.118384300872407, 8.658333778381348, -2.3198308144355093, 0.0, 0.0, 1676111928.9417, -0.3098556979670466, 1, 0.5221666908264161, 16.176088333129883, 25.175859451293945, -0.23404255509376526
458519.81648270605, 4400243.38629493, 19.118722683721426, 8.608333587646484, -2.3823952868978107, 0.0, 0.0, 1676111928.9528, -0.3098196625409422, 1, 0.608250026702881, 16.04638671875, 25.221637725830078, -0.23404255509376526
458519.8164827191, 4400243.3862949265, 19.118722683721387, 8.608333587646484, -2.3823952868978107, 0.0, 0.0, 1676111928.9621, -0.3098196625409422, 1, 0.6943333625793459, 16.04638671875, 25.221637725830078, -0.23404255509376526
458520.0092274625, 4400243.321488416, 19.119612825885568, 8.566666603088379, -2.3578938858850735, 0.0, 0.0, 1676111928.9720, -0.30967803941451777, 1, 0.7800000286102297, 16.04638671875, 25.221637725830078, -0.23404255509376526
458520.07314122736, 4400243.299980983, 19.119859482497922, 8.566666603088379, -2.322098810422676, 0.0, 0.0, 1676111928.9820, -0.3096198763827447, 1, 0.8656666946411135, 15.867856979370117, 25.149919509887695, -0.23404255509376526
458520.13693970314, 4400243.278508197, 19.12008733002319, 8.48611068725586, -2.315805557697673, 0.0, 0.0, 1676111928.9920, -0.30955261697161607, 1, 0.950527801513672, 15.867856979370117, 25.149919509887695, -0.25531914830207825
458520.26411387464, 4400243.235726155, 19.120501228704246, 8.48611068725586, -2.3461158267353635, 0.0, 0.0, 1676111929.0024, -0.30942090152725044, 1, 1.0353889083862307, 16.04638671875, 25.133134841918945, -0.25531914830207825
458520.32751030807, 4400243.214419433, 19.120693551307355, 8.48611068725586, -2.349557484234741, 0.0, 0.0, 1676111929.0123, -0.3093634104023777, 1, 1.1202500152587893, 16.04638671875, 25.133134841918945, -0.25531914830207825
458520.4544046381, 4400243.172235589, 19.116254399409772, 8.436111450195312, -2.3294037200635067, 0.0, 0.0, 1676111929.0218, -0.3087509053736688, 1, 1.2046111297607425, 16.208133697509766, 25.233844757080078, -0.25531914830207825
458520.45538793335, 4400243.172651938, 19.110077604726364, 8.436111450195312, -2.326380757476949, 0.0, 0.0, 1676111929.0320, -0.30883879335717035, 1, 1.2889722442626956, 16.208133697509766, 25.233844757080078, -0.25531914830207825
458520.5815705252, 4400243.130544721, 19.10955516259201, 8.391666412353516, -2.3447870745313377, 0.0, 0.0, 1676111929.0425, -0.3087752353696853, 1, 1.3728889083862308, 16.305789947509766, 25.197223663330078, -0.25531914830207825
458520.6445627623, 4400243.109596323, 19.108867171719996, 8.347222328186035, -2.3196555267299175, 0.0, 0.0, 1676111929.0517, -0.3087454092468196, 1, 1.4563611316680911, 16.305789947509766, 25.197223663330078, -0.25531914830207825
458520.70744136843, 4400243.088688871, 19.108168784832117, 8.347222328186035, -2.311147543786148, 0.0, 0.0, 1676111929.0616, -0.30871570089698075, 1, 1.5398333549499514, 16.305789947509766, 25.197223663330078, -0.25531914830207825
458520.77014008374, 4400243.067841654, 19.107462236751644, 8.347222328186035, -2.2636946941630454, 0.0, 0.0, 1676111929.0724, -0.3086776359960348, 1, 1.6233055782318118, 16.566720962524414, 25.220111846923828, -0.25531914830207825
458520.8949120044, 4400243.02623987, 19.106909829532512, 8.302778244018555, -2.4481920831085033, 0.0, 0.0, 1676111929.0822, -0.3086075372164867, 1, 1.7063333606719973, 16.728466033935547, 25.189594268798828, -0.25531914830207825
458520.95717224275, 4400243.005546183, 19.10622847342506, 8.302778244018555, -2.4771084144006266, 0.0, 0.0, 1676111929.0924, -0.30858100823098766, 1, 1.7893611431121828, 16.728466033935547, 25.189594268798828, -0.25531914830207825
458521.01930412295, 4400242.984901133, 19.105565699480657, 8.255555152893066, -2.364205649288264, 0.0, 0.0, 1676111929.1016, -0.3085547871851717, 1, 1.8719166946411134, 16.728466033935547, 25.189594268798828, -0.25531914830207825
458521.08125863026, 4400242.964326034, 19.104926042152655, 8.255555152893066, -2.259116758856641, 0.0, 0.0, 1676111929.1116, -0.3085301099262372, 1, 1.9544722461700441, 16.82612419128418, 25.172807693481445, -0.25531914830207825
458521.20462855767, 4400242.923269603, 19.1045264436424, 8.208333015441895, -2.3540187859041373, 0.0, 0.0, 1676111929.1216, -0.30851458867483394, 1, 2.036555576324463, 16.82612419128418, 25.172807693481445, -0.25531914830207825
458521.2662050963, 4400242.902855605, 19.10391365127139, 8.163888931274414, -2.397644892904882, 0.0, 0.0, 1676111929.1325, -0.30850861225228643, 1, 2.1181944656372074, 16.4034481048584, 25.192646026611328, -0.25531914830207825
458521.32765560923, 4400242.882493443, 19.103310784785947, 8.163888931274414, -2.3930963527647755, 0.0, 0.0, 1676111929.1424, -0.30850531956094507, 1, 2.1998333549499516, 16.4034481048584, 25.192646026611328, -0.25531914830207825
458521.38897027395, 4400242.862182735, 19.10272278720987, 8.163888931274414, -2.3845459176462, 0.0, 0.0, 1676111929.1519, -0.3084990421576186, 1, 2.281472244262696, 16.4034481048584, 25.192646026611328, -0.25531914830207825
458521.3891929186, 4400242.862230136, 19.10187824452286, 8.097222328186035, -2.3845459176462, 0.0, 0.0, 1676111929.1617, -0.3084990421576186, 1, 2.362444467544556, 16.4034481048584, 25.192646026611328, -0.25531914830207825
458521.5717535466, 4400242.801510845, 19.101870848600736, 8.097222328186035, -2.302972873191803, 0.0, 0.0, 1676111929.1718, -0.30844413524475023, 1, 2.443416690826416, 16.110475540161133, 25.37270164489746, -0.25531914830207825
458521.6324663361, 4400242.781392883, 19.101324041090763, 8.050000190734863, -2.308545431167782, 0.0, 0.0, 1676111929.1818, -0.30842642330184766, 1, 2.523916692733765, 16.110475540161133, 25.37270164489746, -0.25531914830207825
458521.6930595756, 4400242.761311331, 19.100790118615336, 8.050000190734863, -2.3143969908759887, 0.0, 0.0, 1676111929.1918, -0.308409537738886, 1, 2.6044166946411136, 15.883115768432617, 25.38185691833496, -0.25531914830207825
458521.81361070403, 4400242.721219768, 19.10060634116086, 8.0, -2.3464856939866428, 0.0, 0.0, 1676111929.2026, -0.30836635741645413, 1, 2.6844166946411137, 15.883115768432617, 25.38185691833496, -0.25531914830207825
458521.8737272152, 4400242.701276226, 19.100107487828737, 8.0, -2.3396296471052853, 0.0, 0.0, 1676111929.2118, -0.30833932820502463, 1, 2.7644166946411137, 15.883115768432617, 25.271991729736328, -0.25531914830207825
458521.9337548634, 4400242.681355537, 19.09960734305605, 7.955555438995361, -2.286887259125708, 0.0, 0.0, 1676111929.2222, -0.30830221127496094, 1, 2.8439722490310673, 15.883115768432617, 25.271991729736328, -0.25531914830207825
458521.9936201474, 4400242.661481462, 19.099093161878237, 7.955555438995361, -2.2216497398940476, 0.0, 0.0, 1676111929.2317, -0.3082581242830802, 1, 2.923527803421021, 15.99755859375, 25.189594268798828, -0.25531914830207825
458522.1127475366, 4400242.621807533, 19.09887999924278, 7.9083333015441895, -2.1983981020209042, 0.0, 0.0, 1676111929.2419, -0.3081593546929051, 1, 3.0026111364364625, 15.99755859375, 25.189594268798828, -0.25531914830207825
458522.1722119375, 4400242.602066403, 19.0983449348362, 7.9083333015441895, -2.2382802136024003, 0.0, 0.0, 1676111929.2523, -0.30811431486911633, 1, 3.081694469451904, 16.208133697509766, 25.31624412536621, -0.25531914830207825
458522.2315491842, 4400242.582368387, 19.097808735032338, 7.9083333015441895, -2.3644284509954576, 0.0, 0.0, 1676111929.2622, -0.3080709905415455, 1, 3.160777802467346, 16.208133697509766, 25.31624412536621, -0.25531914830207825
458522.2907232607, 4400242.562726359, 19.09726941194111, 7.861111164093018, -2.330452808811512, 0.0, 0.0, 1676111929.2723, -0.3080276135092266, 1, 3.239388914108276, 16.50110626220703, 25.296405792236328, -0.25531914830207825
458522.408481023, 4400242.523530818, 19.097002528763237, 7.861111164093018, -2.2682661834004465, 0.0, 0.0, 1676111929.2817, -0.3079331410174393, 1, 3.3180000257492064, 16.50110626220703, 25.296405792236328, -0.25531914830207825
458522.4672599466, 4400242.504036543, 19.096422524396754, 7.816666603088379, -2.2157976056242417, 0.0, 0.0, 1676111929.2920, -0.30789178188227284, 1, 3.39616669178009, 16.647592544555664, 25.310138702392578, -0.25531914830207825
458522.5258985945, 4400242.48459733, 19.095821004680428, 7.816666603088379, -2.2486810727113413, 0.0, 0.0, 1676111929.3018, -0.30786151402622064, 1, 3.474333357810974, 16.647592544555664, 25.310138702392578, -0.25531914830207825
458522.5844185636, 4400242.46520687, 19.095197627157415, 7.769444465637207, -2.2573772695954766, 0.0, 0.0, 1676111929.3122, -0.3078324097259264, 1, 3.5520278024673457, 16.647592544555664, 25.310138702392578, -0.25531914830207825
458522.70080657414, 4400242.42654329, 19.094733172921558, 7.769444465637207, -2.2676071721608446, 0.0, 0.0, 1676111929.3220, -0.3077747507154833, 1, 3.6297222471237176, 16.728466033935547, 25.221637725830078, -0.25531914830207825
458522.7589330238, 4400242.40730356, 19.094047408227553, 7.72777795791626, -2.254561500775517, 0.0, 0.0, 1676111929.3317, -0.3077500414540255, 1, 3.70700002670288, 16.711681365966797, 25.215534210205078, -0.25531914830207825
458522.8168867645, 4400242.388126333, 19.093349031381834, 7.72777795791626, -2.2863738963693434, 0.0, 0.0, 1676111929.3416, -0.30772599166893233, 1, 3.784277806282043, 16.711681365966797, 25.215534210205078, -0.25531914830207825
458522.87472763256, 4400242.368992458, 19.092651749626885, 7.683333396911621, -2.3945690015074836, 0.0, 0.0, 1676111929.3516, -0.3077054748548296, 1, 3.861111140251159, 16.711681365966797, 25.215534210205078, -0.25531914830207825
458522.87495027715, 4400242.369039859, 19.09180720693989, 7.683333396911621, -2.3945690015074836, 0.0, 0.0, 1676111929.3625, -0.3077054748548296, 1, 3.937944474220275, 16.54993438720703, 25.200275421142578, -0.25531914830207825
458522.932620377, 4400242.349967801, 19.09112089444101, 7.636111259460449, -2.436074051474578, 0.0, 0.0, 1676111929.3730, -0.3076905527780065, 1, 4.01430558681488, 16.4187068939209, 25.101091384887695, -0.25531914830207825
458523.10442005866, 4400242.292941135, 19.090783474516556, 7.56944465637207, -2.185227297077014, 0.0, 0.0, 1676111929.3836, -0.3076338407679242, 1, 4.0900000333786, 16.4187068939209, 25.101091384887695, -0.25531914830207825
458523.16156830394, 4400242.274064648, 19.090109424445007, 7.56944465637207, -2.2539396342724105, 0.0, 0.0, 1676111929.3918, -0.30761643471853173, 1, 4.165694479942321, 16.4187068939209, 25.101091384887695, -0.25531914830207825
458523.275215553, 4400242.236425086, 19.089598735566142, 7.56944465637207, -2.389297566721517, 0.0, 0.0, 1676111929.4019, -0.3075816628259971, 1, 4.241388926506041, 16.192874908447266, 24.985122680664062, -0.25531914830207825
458523.3319592787, 4400242.217700034, 19.08891427346069, 7.527777671813965, -2.39294370163506, 0.0, 0.0, 1676111929.4119, -0.30756889298800427, 1, 4.316666703224181, 16.192874908447266, 24.985122680664062, -0.23404255509376526
458523.38852700434, 4400242.1990364, 19.088219906366113, 7.527777671813965, -2.2649382261510276, 0.0, 0.0, 1676111929.4224, -0.3075555537088275, 1, 4.39194447994232, 15.948729515075684, 24.91340446472168, -0.23404255509376526
458523.44499328046, 4400242.180409346, 19.087517502055995, 7.483333110809326, -2.261204076832616, 0.0, 0.0, 1676111929.4325, -0.30753640153651407, 1, 4.466777811050413, 15.948729515075684, 24.91340446472168, -0.23404255509376526
458523.5572399113, 4400242.143257117, 19.086974837320472, 7.483333110809326, -2.3298783749570475, 0.0, 0.0, 1676111929.4417, -0.3074913029054325, 1, 4.541611142158506, 15.867856979370117, 24.84168815612793, -0.23404255509376526
458523.61325819977, 4400242.124767543, 19.086298730417962, 7.483333110809326, -2.3595901311826917, 0.0, 0.0, 1676111929.4524, -0.307468288742629, 1, 4.616444473266599, 15.867856979370117, 24.84168815612793, -0.23404255509376526
458523.66913219524, 4400242.106314515, 19.08563135162008, 7.438889026641846, -2.3417952410292764, 0.0, 0.0, 1676111929.4623, -0.30743863494068435, 1, 4.6908333635330175, 15.98077392578125, 24.795909881591797, -0.23404255509376526
458523.66935483983, 4400242.106361915, 19.084786808933092, 7.438889026641846, -2.3417952410292764, 0.0, 0.0, 1676111929.4722, -0.30743863494068435, 1, 4.765222253799436, 15.98077392578125, 24.795909881591797, -0.23404255509376526
458523.83566987247, 4400242.051128852, 19.084455415473286, 7.394444465637207, -2.266627188672967, 0.0, 0.0, 1676111929.4824, -0.30732271933089095, 1, 4.839166698455808, 16.160829544067383, 24.54261016845703, -0.23404255509376526
458523.8909934873, 4400242.032816095, 19.083771112484236, 7.349999904632568, -2.2075898719904337, 0.0, 0.0, 1676111929.4920, -0.3072809232128151, 1, 4.912666697502134, 16.160829544067383, 24.54261016845703, -0.23404255509376526
458523.9461365923, 4400242.014553099, 19.083084890155344, 7.349999904632568, -2.236239687674532, 0.0, 0.0, 1676111929.5025, -0.307235375846707, 1, 4.98616669654846, 16.305789947509766, 24.40375328063965, -0.23404255509376526
458524.0011620564, 4400241.996321196, 19.08239367206455, 7.349999904632568, -2.317600387770368, 0.0, 0.0, 1676111929.5120, -0.3071857943359464, 1, 5.059666695594785, 16.305789947509766, 24.40375328063965, -0.23404255509376526
458524.1106105045, 4400241.959960086, 19.081730411894117, 7.30555534362793, -2.288960152007535, 0.0, 0.0, 1676111929.5217, -0.30709694866874404, 1, 5.132722249031064, 16.46906280517578, 24.3442440032959, -0.23404255509376526
458524.1650028429, 4400241.941806911, 19.08185819037585, 7.30555534362793, -2.316945429199073, 0.0, 0.0, 1676111929.5323, -0.30704701449430516, 1, 5.205777802467344, 16.46906280517578, 24.3442440032959, -0.23404255509376526
458524.2192479495, 4400241.923711198, 19.08198119540447, 7.255555629730225, -2.2405313482724996, 0.0, 0.0, 1676111929.5419, -0.30699840032268133, 1, 5.2783333587646455, 16.46906280517578, 24.3442440032959, -0.23404255509376526
458524.2192479625, 4400241.923711193, 19.081981195404456, 7.255555629730225, -2.2405313482724996, 0.0, 0.0, 1676111929.5522, -0.30699840032268133, 1, 5.350888915061947, 16.598764419555664, 24.310672760009766, -0.23404255509376526
