x,y,z,speed,acceleration,curvature,curvature_change_rate,time,theta,gear,s,throttle,brake,steering
458505.0546057739, 4399962.986164655, 19.37872975900261, 0.21666666865348816, 0.382074737246028, 0.0, 0.0, 1676448487.9368, 2.852987580558823, 1, 0.0021666666865348817, 25.233844757080078, 14.43656063079834, 7.255319118499756
458505.05185941316, 4399962.98703544, 19.378759019781594, 0.21666666865348816, 0.3704685638580216, 0.0, 0.0, 1676448487.9476, 2.8530042899610057, 1, 0.004333333373069763, 25.233844757080078, 14.43656063079834, 7.255319118499756
458505.0490902686, 4399962.987913281, 19.378790316256314, 0.24166665971279144, 0.37187506859252484, 0.0, 0.0, 1676448487.9578, 2.8530208404957262, 1, 0.006749999970197678, 25.656518936157227, 14.41062068939209, 7.8510637283325195
458505.0490902686, 4399962.987913281, 19.37879031625631, 0.24166665971279144, 0.37187506859252484, 0.0, 0.0, 1676448487.9652, 2.8530208404957262, 1, 0.009166666567325593, 25.656518936157227, 14.41062068939209, 7.8510637283325195
458505.0434857585, 4399962.989691017, 19.37885242932647, 0.25555557012557983, 0.3787656129399457, 0.0, 0.0, 1676448487.9776, 2.853067931413663, 1, 0.01172222226858139, 25.934232711791992, 14.361791610717773, 8.489361763000488
458505.0434857585, 4399962.989691017, 19.378852429326468, 0.25555557012557983, 0.3787656129399457, 0.0, 0.0, 1676448487.9872, 2.853067931413663, 1, 0.014277777969837188, 25.934232711791992, 14.361791610717773, 8.489361763000488
458505.0434857585, 4399962.989691017, 19.378852429326468, 0.2777777910232544, 0.3787656129399457, 0.0, 0.0, 1676448487.9970, 2.853067931413663, 1, 0.017055555880069732, 26.29281997680664, 14.41062068939209, 9.14893627166748
458505.0319748927, 4399962.9933601245, 19.378969249378105, 0.2777777910232544, 0.43331897793685714, 0.0, 0.0, 1676448488.0078, 2.853191376993685, 1, 0.019833333790302277, 26.29281997680664, 14.41062068939209, 9.14893627166748
458505.0319748927, 4399962.9933601245, 19.378969249378105, 0.2777777910232544, 0.43331897793685714, 0.0, 0.0, 1676448488.0155, 2.853191376993685, 1, 0.02261111170053482, 26.29281997680664, 14.41062068939209, 9.14893627166748
458505.02306799445, 4399962.996217558, 19.37905287327209, 0.2916666567325592, 0.43961789727143313, 0.0, 0.0, 1676448488.0269, 2.853315416960177, 1, 0.025527778267860412, 26.439308166503906, 14.383153915405273, 9.78723430633545
458505.019743326, 4399962.996765103, 19.37531928791314, 0.2916666567325592, 0.4510823398167879, 0.0, 0.0, 1676448488.0379, 2.8533088936337894, 1, 0.028444444835186003, 26.536964416503906, 14.41062068939209, 9.78723430633545
458505.01990333514, 4399962.996236895, 19.371617077052996, 0.30000001192092896, 0.44721282442510235, 0.0, 0.0, 1676448488.0453, 2.853307738491809, 1, 0.031444444954395294, 26.536964416503906, 14.41062068939209, 10.425532341003418
458505.01115629, 4399962.99912246, 19.37183027559291, 0.31388887763023376, 0.43167321557273336, 0.0, 0.0, 1676448488.0580, 2.853471025923385, 1, 0.034583333730697635, 26.58579444885254, 14.355688095092773, 11.042552947998047
458505.0083514369, 4399963.000077942, 19.37198788455987, 0.3194444477558136, 0.4304989499850912, 0.0, 0.0, 1676448488.0746, 2.8535266980403593, 1, 0.03777777820825577, 26.68345069885254, 14.378576278686523, 11.978723526000977
458505.0085930529, 4399963.00003699, 19.37211466387243, 0.3194444477558136, 0.4304989499850912, 0.0, 0.0, 1676448488.0766, 2.8535266980403593, 1, 0.04097222268581391, 26.68345069885254, 14.378576278686523, 11.978723526000977
458505.0057613504, 4399963.001004375, 19.372273151460803, 0.3194444477558136, 0.44445988118977575, 0.0, 0.0, 1676448488.0864, 2.853581890385607, 1, 0.044166667163372045, 26.68345069885254, 14.378576278686523, 11.978723526000977
458504.9997777989, 4399963.003014426, 19.372460844839324, 0.3305555582046509, 0.4409510919209362, 0.0, 0.0, 1676448488.0958, 2.8537094673384304, 1, 0.047472222745418555, 26.976425170898438, 14.380102157592773, 12.574467658996582
458504.99686802336, 4399963.004015255, 19.372616175455487, 0.3305555582046509, 0.45371409147295655, 0.0, 0.0, 1676448488.1065, 2.8537764492719297, 1, 0.050777778327465065, 26.976425170898438, 14.380102157592773, 12.574467658996582
458504.99393237074, 4399963.00502677, 19.37277181937192, 0.3305555582046509, 0.4422779156093075, 0.0, 0.0, 1676448488.1165, 2.8538458965636693, 1, 0.054083333909511574, 26.976425170898438, 14.380102157592773, 12.574467658996582
458504.99096798594, 4399963.006049921, 19.37292889151111, 0.34166666865348816, 0.444179596963471, 0.0, 0.0, 1676448488.1263, 2.8539154009992096, 1, 0.05750000059604646, 27.6447696685791, 14.401464462280273, 13.14893627166748
458504.98471886857, 4399963.008163677, 19.373118560680464, 0.34166666865348816, 0.4461318874682439, 0.0, 0.0, 1676448488.1358, 2.854066654341839, 1, 0.06091666728258134, 28.264286041259766, 14.378576278686523, 13.14893627166748
458504.98167541635, 4399963.009211724, 19.37327755399485, 0.3499999940395355, 0.4573122032219689, 0.0, 0.0, 1676448488.1463, 2.854142944426206, 1, 0.0644166672229767, 28.264286041259766, 14.378576278686523, 13.702127456665039
458504.9786005038, 4399963.010268781, 19.37343788410414, 0.3499999940395355, 0.45531625785221086, 0.0, 0.0, 1676448488.1567, 2.8542191888373845, 1, 0.06791666716337205, 28.264286041259766, 14.378576278686523, 13.702127456665039
458504.97549900593, 4399963.011333351, 19.373599584893515, 0.3583333194255829, 0.446591210973372, 0.0, 0.0, 1676448488.1666, 2.8542972922581162, 1, 0.07150000035762788, 29.126420974731445, 14.355688095092773, 14.21276569366455
